Progress,Duration (in seconds),Finished,S1_1,S2_1,S3_1,S4_1,S5_1,S6_1,S7_1,S8_1,S9_1,S10_1,S11_1,S12_1,S13_1,S14_1,S15_1,S16_1,S17_1,S18_1,demo,age,gender,ethnicity,ethnicity_6_TEXT,education,ses,S1A,S2A,S3A,S4A,S5A,S6A,S7A,S8A,S9A,S10A,S11A,S12A,S13A,S14A,S15A,S16A,S17A,S18A
100,964,TRUE,,0,100,,0,35,41,14,0,60,0,,88,,,,100,2,,29,Female,Black / African American,,Some College,Rung 3,,try to convince a passing driver to trade cars,stage a robbery,,call her mom,steal all of the food and water,go without Ted,keep an eye on him,pull over and call 911,steal whatever she has on her,ask to use the mall's loudspeaker,,run away,,,,stage a break-in at the store,call for help
100,304,TRUE,,71,0,100,6,,0,0,100,0,,,50,100,100,,,0,,41,Female,White / Caucasian,,College Graduate (4 year),Rung 5,,try to convince a passing driver to trade cars,get an advance payday loan,crawl past the front desk,bring in the assignment the next day,,try to buy a ticket off another person,ask the parents if they know him,ram into the car,call her a cab,,,tell his sister as soon as possible,abandon his father,sell all the food to the highest bidder,,,carry her competitor on her sled
100,756,TRUE,0,,0,50,50,50,,5,,5,1,90,,5,0,0,,,,51,Female,White / Caucasian,,"Professional Degree (MD, JD, etc.)",Rung 7,switch insurance plans,,explain the situation to his boss,renew her membership,bring in the assignment the next day,collect wood to start a fire,,tackle him and hold him down,,turn invisible,call emergency services,store the knife in an airport locker,,pitch his situation to a reality TV network,request supplies to be airdropped,hike until she finds cell service,,
100,528,TRUE,50,,71,,,0,100,0,,0,100,100,70,100,95,,,9,,62,Female,White / Caucasian,,Some College,Rung 5,commit credit card fraud,,pay the money from his own wallet,,,steal all of the food and water,steal someone else's ticket,wave to the parents,,steal whatever she has on her,light a fire under the car,hide the knife in someone else's bag,borrow their mom’s wedding ring,abandon his father,throw disobedient passengers off the boat,,,carry her competitor on her sled
100,264,TRUE,,20,,4,91,29,,44,1,,1,45,66,86,,1,,81,,41,Female,White / Caucasian,,Master's Degree (MS),Rung 8,,try to convince a passing driver to trade cars,,pay for a day-pass to the gym,copy a friend's assignment,search for a water source,,tackle him and hold him down,pull over and call 911,,ask to use the mall's loudspeaker,pretend the knife is part of a hip replacement,steal someone else’s ring,buy his father a tent,,hike until she finds cell service,,hide him in the snow
100,399,TRUE,0,100,100,,0,49,,,50,100,,90,,0,,0,100,0,,35,Male,White / Caucasian,,College Graduate (4 year),Rung 2,commit credit card fraud,steal a passing driver's car,get an advance payday loan,,call her mom,boost morale with a three-legged race,,,tailgate the car,yell in gibberish until she leaves,,store the knife in an airport locker,,get another job,,yell at Todd for getting stuck,leave the store unattended,call for help
100,326,TRUE,41,73,,,,3,,46,1,0,0,96,95,1,,10,25,,,27,Female,White / Caucasian,,Master's Degree (MS),Rung 7,switch insurance plans,reschedule for a later flight,,,,throw away all of the food,,ask the parents if they know him,honk an angry message in Morse code,turn invisible,check that the doors are locked,pretend the knife is part of a hip replacement,run away,move into his father’s apartment,,saw Todd’s arm off,call his lawyer,
100,382,TRUE,0,,0,100,60,0,0,,,,0,80,,,100,10,20,40,,34,Female,White / Caucasian,,Vocational/Technical School (2 year),Rung 4,start a fundraiser,,sell one of his kidneys,lie that she left her card inside,lie that her house burnt down,search for a water source,pretend they are conjoined twins,,,,call emergency services,take a train instead,,,serve engine fuel to the passengers,get her arm stuck in solidarity,ask a friend to take over,carry her competitor on her sled
100,290,TRUE,10,90,100,,50,0,0,,,0,0,,90,,,80,80,90,,45,Female,White / Caucasian,,"Professional Degree (MD, JD, etc.)",Rung 8,start a fundraiser,call a taxi,explain the situation to his boss,,hypnotize the teacher,collect wood to start a fire,go without Ted,,,take her to his house but no further,call emergency services,,blame it on the maid of honor,,,get her arm stuck in solidarity,lock up the store,finish the race
100,511,TRUE,,30,,60,5,,40,70,,50,100,90,100,0,100,,10,,,30,Female,White / Caucasian,,College Graduate (4 year),Rung 3,,call a taxi,,borrow someone's phone,call her mom,,try to buy a ticket off another person,tackle him and hold him down,,steal whatever she has on her,light a fire under the car,ask to check the knife,call the taxi company,check in on his father daily,sell all the food to the highest bidder,,leave the store unattended,
100,247,TRUE,0,60,0,,0,0,49,100,,0,,,0,,,0,100,100,,40,Female,White / Caucasian,,Some College,Rung 6,go on strike for better wages,reschedule for a later flight,pay the money from his own wallet,,quickly try to redo the assignment,collect wood to start a fire,teleport into the concert,tackle him and hold him down,,yell in gibberish until she leaves,,,call the taxi company,,,give Todd her water,stage a break-in at the store,steal his dogs for extra speed
100,302,TRUE,,,,,100,20,1,15,20,20,10,60,,80,5,65,,10,,35,Male,White / Caucasian,,Some College,Rung 4,,,,,copy a friend's assignment,boost morale with a three-legged race,give her ticket to Ted,keep an eye on him,tailgate the car,yell in gibberish until she leaves,pour water on the car to cool it,hide the knife in someone else's bag,,pitch his situation to a reality TV network,request supplies to be airdropped,leave Todd to save herself,,leave her dogs with him
100,694,TRUE,1,55,,81,0,2,,1,0,40,,,,,28,0,0,1,,31,Female,White / Caucasian,,"Professional Degree (MD, JD, etc.)",Rung 5,commit credit card fraud,demand that the airline delays the flight,,lie that she left her card inside,hypnotize the teacher,steal all of the food and water,,keep an eye on him,take a detour at the next exit,yell in gibberish until she leaves,,,,,organize a fishing crew,yell at Todd for getting stuck,call his lawyer,hide him in the snow
100,195,TRUE,20,1,,1,,10,,1,21,,81,50,,92,100,1,,1,,38,Female,White / Caucasian,,Some College,Rung 4,start a fundraiser,take a public bus,,pull the fire alarm,,search for a water source,,wave to the parents,honk at the driver until they pull over,,check that the doors are locked,store the knife in an airport locker,,buy his father a tent,serve engine fuel to the passengers,get her arm stuck in solidarity,,carry her competitor on her sled
100,786,TRUE,,11,0,100,3,51,,1,4,2,,100,,,,91,88,0,,30,Female,White / Caucasian,,College Graduate (4 year),Rung 6,,try to convince a passing driver to trade cars,stage a robbery,pay for a day-pass to the gym,quickly try to redo the assignment,collect wood to start a fire,,tackle him and hold him down,honk an angry message in Morse code,call her a cab,,pretend the knife is part of a hip replacement,,,,hike until she finds cell service,tell his lawyer that he’s sick,carry her competitor on her sled
100,334,TRUE,20,,90,100,2,,1,50,1,,,50,4,4,,,50,1,,32,Male,White / Caucasian,,College Graduate (4 year),Rung 8,search for the medication on the black market,,stage a robbery,lie that she left her card inside,quickly try to redo the assignment,,give her ticket to Ted,wave to the parents,honk at the driver until they pull over,,,take a train instead,borrow their mom’s wedding ring,pitch his situation to a reality TV network,,,call his lawyer,call for help
100,334,TRUE,97,1,,99,,83,,,92,0,0,99,,0,50,0,0,,,69,Female,White / Caucasian,,Vocational/Technical School (2 year),Rung 6,go on strike for better wages,demand that the airline delays the flight,,pay for a day-pass to the gym,,huddle to conserve energy,,,honk an angry message in Morse code,call her a cab,pour water on the car to cool it,ask to check the knife,,check in on his father daily,request supplies to be airdropped,saw Todd’s arm off,tell his lawyer that he’s sick,
100,427,TRUE,,26,2,39,81,4,,2,,1,,,10,,99,1,30,92,,54,Female,White / Caucasian,,College Graduate (4 year),Rung 6,,steal a passing driver's car,pay the money from his own wallet,crawl past the front desk,lie that her house burnt down,throw away all of the food,,ask the parents if they know him,,take her to his house but no further,,,steal someone else’s ring,,sell all the food to the highest bidder,hike until she finds cell service,ask a friend to take over,steal his dogs for extra speed
100,1664,TRUE,0,,100,,30,0,0,,,0,30,100,,,60,20,50,0,,43,Female,White / Caucasian,,High School or equivalent,Rung 3,search for the medication on the black market,,stage a robbery,,call her mom,search for a water source,give her ticket to Ted,,,steal whatever she has on her,slash the tires,store the knife in an airport locker,,,organize a fishing crew,leave Todd to save herself,call his lawyer,leave her dogs with him
100,708,TRUE,2,,0,65,,8,100,0,95,,0,,75,,30,0,,100,,45,Female,White / Caucasian,,Master's Degree (MS),Rung 7,search for the medication on the black market,,explain the situation to his boss,pull the fire alarm,,huddle to conserve energy,steal someone else's ticket,read his mind,ram into the car,,call emergency services,,blame it on the maid of honor,,throw disobedient passengers off the boat,give Todd her water,,hide him in the snow
100,317,TRUE,,60,100,92,,13,,40,25,0,,100,50,100,,,100,81,,25,Male,Hispanic / Latino,,Some College,Rung 6,,try to convince a passing driver to trade cars,stage a robbery,pull the fire alarm,,boost morale with a three-legged race,,keep an eye on him,tailgate the car,refuse to drive her,,store the knife in an airport locker,call the taxi company,buy his father a tent,,,stage a break-in at the store,steal his dogs for extra speed
100,296,TRUE,11,,29,0,0,,0,93,,,51,98,72,0,7,,,66,,37,Female,White / Caucasian,,College Graduate (4 year),Rung 4,commit credit card fraud,,get an advance payday loan,renew her membership,bring in the assignment the next day,,pretend they are conjoined twins,read his mind,,,slash the tires,hide the knife in someone else's bag,blame it on the maid of honor,move into his father’s apartment,organize a fishing crew,,,finish the race
100,462,TRUE,,,0,75,100,,1,,0,0,1,100,100,100,51,,93,,,44,Male,White / Caucasian,,College Graduate (4 year),Rung 2,,,pay the money from his own wallet,borrow someone's phone,hypnotize the teacher,,give her ticket to Ted,,take a detour at the next exit,yell in gibberish until she leaves,pour water on the car to cool it,take a train instead,run away,abandon his father,throw disobedient passengers off the boat,,leave the store unattended,
100,218,TRUE,16,,29,47,41,59,,81,52,33,,46,,,38,30,,32,,32,Female,White / Caucasian,,Master's Degree (MS),Rung 7,switch insurance plans,,sell one of his kidneys,crawl past the front desk,call her mom,throw away all of the food,,make cat noises at him until he leaves,take a detour at the next exit,yell in gibberish until she leaves,,ask to check the knife,,,sell all the food to the highest bidder,yell at Todd for getting stuck,,leave her dogs with him
100,738,TRUE,0,90,0,20,,,10,0,100,,50,20,10,80,100,,,,,36,Female,White / Caucasian,,College Graduate (4 year),Rung 8,search for the medication on the black market,steal a passing driver's car,explain the situation to his boss,renew her membership,,,try to buy a ticket off another person,read his mind,ram into the car,,slash the tires,store the knife in an airport locker,blame it on the maid of honor,abandon his father,serve engine fuel to the passengers,,,
100,310,TRUE,4,,80,55,31,35,1,,59,90,0,56,45,,89,,,,,35,Male,White / Caucasian,,College Graduate (4 year),Rung 7,start a fundraiser,,get an advance payday loan,renew her membership,quickly try to redo the assignment,huddle to conserve energy,give her ticket to Ted,,honk an angry message in Morse code,steal whatever she has on her,check that the doors are locked,ask to check the knife,call the taxi company,,sell all the food to the highest bidder,,,
100,507,TRUE,10,40,30,,91,,50,81,,0,0,100,57,,0,70,,,,26,Female,Asian / Pacific Islander,,Master's Degree (MS),Rung 7,take out a loan,take a public bus,get an advance payday loan,,copy a friend's assignment,,go without Ted,tackle him and hold him down,,turn invisible,ask to use the mall's loudspeaker,pretend the knife is part of a hip replacement,steal someone else’s ring,,organize a fishing crew,get her arm stuck in solidarity,,
100,497,TRUE,40,,80,1,,10,,,4,91,3,3,,9,94,,10,81,,44,Male,Black / African American,,College Graduate (4 year),Rung 2,commit credit card fraud,,overcharge the next customers,pay for a day-pass to the gym,,collect wood to start a fire,,,honk an angry message in Morse code,steal whatever she has on her,ask to use the mall's loudspeaker,take a train instead,,get another job,throw disobedient passengers off the boat,,ask a friend to take over,hide him in the snow
100,303,TRUE,32,34,,,28,56,,38,,,51,,30,27,32,49,26,27,,29,Male,White / Caucasian,,College Graduate (4 year),Rung 7,go on strike for better wages,try to convince a passing driver to trade cars,,,lie that her house burnt down,steal all of the food and water,,keep an eye on him,,,ask to use the mall's loudspeaker,,tell his sister as soon as possible,pitch his situation to a reality TV network,ration their food,get her arm stuck in solidarity,lock up the store,leave her dogs with him
100,789,TRUE,30,71,75,100,98,,99,,3,0,,99,29,,99,,98,,,63,Female,Black / African American,,College Graduate (4 year),Rung 6,switch insurance plans,demand that the airline delays the flight,overcharge the next customers,lie that she left her card inside,lie that her house burnt down,,steal someone else's ticket,,pull over and call 911,call her a cab,,pretend the knife is part of a hip replacement,tell his sister as soon as possible,,ration their food,,stage a break-in at the store,
100,361,TRUE,,25,25,83,,,38,,96,11,1,81,35,25,,,11,94,,34,Male,Hispanic / Latino,,Some College,Rung 5,,demand that the airline delays the flight,sell one of his kidneys,crawl past the front desk,,,teleport into the concert,,ram into the car,turn invisible,slash the tires,pretend the knife is part of a hip replacement,tell his sister as soon as possible,check in on his father daily,,,call his lawyer,steal his dogs for extra speed
100,303,TRUE,,,0,100,,100,0,100,100,,100,100,100,,100,100,,100,,41,Female,White / Caucasian,,College Graduate (4 year),Rung 3,,,explain the situation to his boss,borrow someone's phone,,boost morale with a three-legged race,go without Ted,make cat noises at him until he leaves,tailgate the car,,light a fire under the car,threaten security with the knife,tell his sister as soon as possible,,ration their food,leave Todd to save herself,,hide him in the snow
100,341,TRUE,83,14,100,28,78,18,,93,21,0,100,,,48,,,1,,,36,Male,Hispanic / Latino,,Master's Degree (MS),Rung 4,commit credit card fraud,reschedule for a later flight,stage a robbery,renew her membership,call her mom,boost morale with a three-legged race,,read his mind,take a detour at the next exit,call her a cab,light a fire under the car,,,abandon his father,,,tell his lawyer that he’s sick,
100,304,TRUE,0,9,,30,10,,,0,1,0,,50,29,0,0,,0,,,33,Male,White / Caucasian,,Some College,Rung 3,switch insurance plans,demand that the airline delays the flight,,pull the fire alarm,hypnotize the teacher,,,wave to the parents,take a detour at the next exit,take her to his house but no further,,pretend the knife is part of a hip replacement,borrow their mom’s wedding ring,move into his father’s apartment,request supplies to be airdropped,,lock up the store,
100,488,TRUE,0,2,,100,,0,0,0,,0,,,,0,2,0,0,1,,48,Male,White / Caucasian,,Master's Degree (MS),Rung 4,take out a loan,call a taxi,,pay for a day-pass to the gym,,huddle to conserve energy,give her ticket to Ted,ask the parents if they know him,,take her to his house but no further,,,,get another job,throw disobedient passengers off the boat,hike until she finds cell service,tell his lawyer that he’s sick,call for help
100,460,TRUE,,100,100,,100,,100,0,0,,0,100,100,0,,0,100,,,54,Male,White / Caucasian,,Some College,Rung 3,,try to convince a passing driver to trade cars,overcharge the next customers,,bring in the assignment the next day,,steal someone else's ticket,keep an eye on him,honk at the driver until they pull over,,pour water on the car to cool it,hide the knife in someone else's bag,steal someone else’s ring,move into his father’s apartment,,give Todd her water,stage a break-in at the store,
100,1976,TRUE,10,49,100,92,10,6,,19,3,,,100,,9,25,11,,,,37,Female,White / Caucasian,,College Graduate (4 year),Rung 5,switch insurance plans,call a taxi,overcharge the next customers,crawl past the front desk,quickly try to redo the assignment,steal all of the food and water,,read his mind,honk an angry message in Morse code,,,threaten security with the knife,,pitch his situation to a reality TV network,serve engine fuel to the passengers,give Todd her water,,
100,313,TRUE,,59,63,,14,53,28,,20,26,3,42,,10,,,20,45,,43,Male,White / Caucasian,,College Graduate (4 year),Rung 3,,call a taxi,stage a robbery,,hypnotize the teacher,steal all of the food and water,try to buy a ticket off another person,,tailgate the car,steal whatever she has on her,ask to use the mall's loudspeaker,store the knife in an airport locker,,pitch his situation to a reality TV network,,,call his lawyer,leave her dogs with him
100,346,TRUE,,100,100,,2,100,50,,3,,3,100,,1,,30,5,2,,41,Male,White / Caucasian,,Vocational/Technical School (2 year),Rung 1 (Bottom Rung),,take a public bus,get an advance payday loan,,call her mom,search for a water source,go without Ted,,pull over and call 911,,call emergency services,hide the knife in someone else's bag,,check in on his father daily,,saw Todd’s arm off,lock up the store,carry her competitor on her sled
100,411,TRUE,0,55,0,40,,,90,,,5,0,,95,,30,0,60,0,,28,Male,White / Caucasian,,College Graduate (4 year),Rung 5,take out a loan,steal a passing driver's car,explain the situation to his boss,renew her membership,,,pretend they are conjoined twins,,,refuse to drive her,call emergency services,,run away,,sell all the food to the highest bidder,hike until she finds cell service,leave the store unattended,finish the race
100,739,TRUE,80,50,0,,100,50,90,40,,0,0,,,,100,0,10,,,78,Female,White / Caucasian,,Master's Degree (MS),Rung 7,go on strike for better wages,reschedule for a later flight,sell one of his kidneys,,copy a friend's assignment,huddle to conserve energy,pretend they are conjoined twins,tackle him and hold him down,,take her to his house but no further,call emergency services,,,,serve engine fuel to the passengers,yell at Todd for getting stuck,ask a friend to take over,
100,500,TRUE,96,,,,50,92,100,1,,0,,5,2,60,82,80,,8,,40,Female,Black / African American,,Master's Degree (MS),Rung 5,go on strike for better wages,,,,call her mom,search for a water source,steal someone else's ticket,make cat noises at him until he leaves,,turn invisible,,ask to check the knife,run away,buy his father a tent,organize a fishing crew,leave Todd to save herself,,call for help
100,198,TRUE,59,,16,60,12,25,31,,35,88,,94,,,,45,16,43,,40,Female,White / Caucasian,,Some College,Rung 6,go on strike for better wages,,pay the money from his own wallet,crawl past the front desk,lie that her house burnt down,collect wood to start a fire,teleport into the concert,,ram into the car,steal whatever she has on her,,hide the knife in someone else's bag,,,,yell at Todd for getting stuck,tell his lawyer that he’s sick,leave her dogs with him
100,301,TRUE,21,91,0,80,,100,,91,,,,9,93,100,75,80,0,,,28,Male,White / Caucasian,,Master's Degree (MS),Rung 6,commit credit card fraud,take a public bus,pay the money from his own wallet,borrow someone's phone,,throw away all of the food,,tackle him and hold him down,,,,store the knife in an airport locker,steal someone else’s ring,buy his father a tent,organize a fishing crew,get her arm stuck in solidarity,tell his lawyer that he’s sick,
100,1362,TRUE,20,,,49,72,,50,29,,71,29,,10,,82,50,29,14,,35,Male,White / Caucasian,,Master's Degree (MS),Rung 8,start a fundraiser,,,renew her membership,hypnotize the teacher,,steal someone else's ticket,ask the parents if they know him,,turn invisible,light a fire under the car,,borrow their mom’s wedding ring,,serve engine fuel to the passengers,hike until she finds cell service,leave the store unattended,carry her competitor on her sled
100,850,TRUE,,,,100,,0,0,,0,0,,100,100,30,50,80,100,0,,61,Female,Asian / Pacific Islander,,Master's Degree (MS),Rung 8,,,,borrow someone's phone,,collect wood to start a fire,try to buy a ticket off another person,,honk at the driver until they pull over,refuse to drive her,,threaten security with the knife,borrow their mom’s wedding ring,pitch his situation to a reality TV network,ration their food,saw Todd’s arm off,stage a break-in at the store,call for help
100,758,TRUE,60,25,,,20,,100,50,0,0,80,100,,0,,0,,100,,46,Male,White / Caucasian,,College Graduate (4 year),Rung 4,commit credit card fraud,reschedule for a later flight,,,quickly try to redo the assignment,,teleport into the concert,ask the parents if they know him,pull over and call 911,yell in gibberish until she leaves,light a fire under the car,threaten security with the knife,,get another job,,give Todd her water,,hide him in the snow
100,340,TRUE,10,,,87,50,,50,0,0,0,0,87,100,100,,,,25,,66,Male,White / Caucasian,,College Graduate (4 year),Rung 5,take out a loan,,,pull the fire alarm,copy a friend's assignment,,pretend they are conjoined twins,ask the parents if they know him,pull over and call 911,call her a cab,check that the doors are locked,pretend the knife is part of a hip replacement,blame it on the maid of honor,abandon his father,,,,finish the race
100,366,TRUE,,100,,80,100,,,25,5,0,0,15,10,60,30,,75,,,28,Male,White / Caucasian,,College Graduate (4 year),Rung 5,,steal a passing driver's car,,borrow someone's phone,bring in the assignment the next day,,,wave to the parents,tailgate the car,take her to his house but no further,ask to use the mall's loudspeaker,take a train instead,call the taxi company,abandon his father,throw disobedient passengers off the boat,,ask a friend to take over,
100,924,TRUE,35,67,9,83,14,31,,,30,,7,,3,,48,56,29,,,55,Female,White / Caucasian,,College Graduate (4 year),Rung 4,take out a loan,try to convince a passing driver to trade cars,pay the money from his own wallet,lie that she left her card inside,bring in the assignment the next day,huddle to conserve energy,,,honk at the driver until they pull over,,check that the doors are locked,,borrow their mom’s wedding ring,,request supplies to be airdropped,saw Todd’s arm off,call his lawyer,
100,1089,TRUE,,46,,55,52,52,39,57,1,,,,29,14,,16,96,4,,36,Female,Black / African American,,Some College,Rung 7,,demand that the airline delays the flight,,lie that she left her card inside,bring in the assignment the next day,search for a water source,pretend they are conjoined twins,keep an eye on him,pull over and call 911,,,,borrow their mom’s wedding ring,move into his father’s apartment,,leave Todd to save herself,stage a break-in at the store,finish the race
100,402,TRUE,0,2,,49,,0,12,7,0,,0,27,100,,,0,,100,,53,Female,Black / African American,,Some College,Rung 4,start a fundraiser,take a public bus,,crawl past the front desk,,steal all of the food and water,try to buy a ticket off another person,make cat noises at him until he leaves,pull over and call 911,,check that the doors are locked,store the knife in an airport locker,run away,,,yell at Todd for getting stuck,,steal his dogs for extra speed
100,533,TRUE,,0,0,,100,100,1,,100,0,40,,,,100,0,0,100,,62,Male,White / Caucasian,,College Graduate (4 year),Rung 3,,reschedule for a later flight,explain the situation to his boss,,lie that her house burnt down,throw away all of the food,give her ticket to Ted,,ram into the car,call her a cab,slash the tires,,,,throw disobedient passengers off the boat,hike until she finds cell service,call his lawyer,steal his dogs for extra speed
100,408,TRUE,,73,90,,55,40,,76,0,6,0,,,40,35,,20,80,,24,Female,White / Caucasian,,High School or equivalent,Rung 3,,call a taxi,overcharge the next customers,,hypnotize the teacher,huddle to conserve energy,,tackle him and hold him down,take a detour at the next exit,yell in gibberish until she leaves,call emergency services,,,get another job,ration their food,,call his lawyer,hide him in the snow
100,619,TRUE,19,9,100,20,,91,,29,,,,0,100,29,100,100,100,,,30,Female,White / Caucasian,,College Graduate (4 year),Rung 7,search for the medication on the black market,call a taxi,stage a robbery,pay for a day-pass to the gym,,throw away all of the food,,wave to the parents,,,,ask to check the knife,steal someone else’s ring,move into his father’s apartment,sell all the food to the highest bidder,leave Todd to save herself,leave the store unattended,
100,334,TRUE,,60,50,,,100,19,81,0,30,0,,93,40,,30,,10,,28,Female,White / Caucasian,,Master's Degree (MS),Rung 5,,steal a passing driver's car,get an advance payday loan,,,steal all of the food and water,give her ticket to Ted,read his mind,honk an angry message in Morse code,steal whatever she has on her,call emergency services,,run away,buy his father a tent,,hike until she finds cell service,,call for help
100,385,TRUE,,20,,100,50,70,35,,0,0,,100,92,,75,,100,0,,45,Female,White / Caucasian,,Some College,Rung 5,,take a public bus,,lie that she left her card inside,hypnotize the teacher,boost morale with a three-legged race,pretend they are conjoined twins,,honk at the driver until they pull over,yell in gibberish until she leaves,,hide the knife in someone else's bag,tell his sister as soon as possible,,throw disobedient passengers off the boat,,stage a break-in at the store,leave her dogs with him
100,504,TRUE,0,70,0,81,50,100,,,0,0,30,,5,0,,0,,,,60,Male,White / Caucasian,,Some College,Rung 3,switch insurance plans,try to convince a passing driver to trade cars,get an advance payday loan,pay for a day-pass to the gym,lie that her house burnt down,collect wood to start a fire,,,honk at the driver until they pull over,yell in gibberish until she leaves,pour water on the car to cool it,,borrow their mom’s wedding ring,check in on his father daily,,give Todd her water,,
100,408,TRUE,9,,0,,,3,82,7,39,,1,100,52,,,73,71,18,,32,Female,White / Caucasian,,College Graduate (4 year),Rung 4,switch insurance plans,,explain the situation to his boss,,,boost morale with a three-legged race,steal someone else's ticket,keep an eye on him,honk an angry message in Morse code,,ask to use the mall's loudspeaker,pretend the knife is part of a hip replacement,run away,,,get her arm stuck in solidarity,lock up the store,leave her dogs with him
100,1628,TRUE,29,40,40,100,,0,,40,,10,0,100,,,61,,0,19,,35,Female,White / Caucasian,,College Graduate (4 year),Rung 7,take out a loan,reschedule for a later flight,get an advance payday loan,pull the fire alarm,,boost morale with a three-legged race,,make cat noises at him until he leaves,,turn invisible,pour water on the car to cool it,ask to check the knife,,,request supplies to be airdropped,,lock up the store,leave her dogs with him
100,446,TRUE,91,1,90,97,90,,,1,,1,100,1,,49,30,,98,,,32,Male,White / Caucasian,,College Graduate (4 year),Rung 8,search for the medication on the black market,try to convince a passing driver to trade cars,sell one of his kidneys,borrow someone's phone,bring in the assignment the next day,,,keep an eye on him,,refuse to drive her,light a fire under the car,threaten security with the knife,,buy his father a tent,organize a fishing crew,,ask a friend to take over,
100,501,TRUE,50,100,0,,,65,0,40,0,,,91,,5,0,,0,100,,19,Male,Black / African American,,High School or equivalent,Rung 3,search for the medication on the black market,demand that the airline delays the flight,pay the money from his own wallet,,,huddle to conserve energy,go without Ted,wave to the parents,take a detour at the next exit,,,take a train instead,,move into his father’s apartment,sell all the food to the highest bidder,,tell his lawyer that he’s sick,steal his dogs for extra speed
100,437,TRUE,0,,10,90,100,,,10,,,0,,0,0,100,0,50,0,,49,Female,White / Caucasian,,College Graduate (4 year),Rung 3,take out a loan,,stage a robbery,crawl past the front desk,copy a friend's assignment,,,read his mind,,,check that the doors are locked,,steal someone else’s ring,get another job,serve engine fuel to the passengers,give Todd her water,ask a friend to take over,carry her competitor on her sled
100,306,TRUE,,41,11,23,8,9,88,4,,9,10,91,,,,,5,80,,68,Male,Asian / Pacific Islander,,Master's Degree (MS),Rung 4,,take a public bus,overcharge the next customers,pay for a day-pass to the gym,call her mom,search for a water source,steal someone else's ticket,keep an eye on him,,take her to his house but no further,slash the tires,hide the knife in someone else's bag,,,,,lock up the store,finish the race
100,143,TRUE,27,77,,78,,100,,87,0,85,12,79,,0,69,,,17,,38,Male,White / Caucasian,,Doctoral Degree (PhD),Rung 6,go on strike for better wages,reschedule for a later flight,,pull the fire alarm,,throw away all of the food,,make cat noises at him until he leaves,pull over and call 911,steal whatever she has on her,pour water on the car to cool it,store the knife in an airport locker,,move into his father’s apartment,request supplies to be airdropped,,,call for help
100,873,TRUE,0,,,36,0,,0,0,54,0,4,,0,,0,0,,0,,26,Female,White / Caucasian,,College Graduate (4 year),Rung 5,start a fundraiser,,,pay for a day-pass to the gym,quickly try to redo the assignment,,go without Ted,tackle him and hold him down,ram into the car,refuse to drive her,slash the tires,,call the taxi company,,request supplies to be airdropped,yell at Todd for getting stuck,,call for help
100,714,TRUE,55,,5,70,60,,0,,,0,,75,0,30,5,0,30,,,74,Female,White / Caucasian,,Some College,Rung 5,start a fundraiser,,get an advance payday loan,lie that she left her card inside,quickly try to redo the assignment,,teleport into the concert,,,refuse to drive her,,take a train instead,call the taxi company,check in on his father daily,ration their food,give Todd her water,ask a friend to take over,
100,1320,TRUE,0,100,100,,,63,1,0,,,26,,0,100,0,100,,0,,44,Female,White / Caucasian,,College Graduate (4 year),Rung 6,start a fundraiser,demand that the airline delays the flight,overcharge the next customers,,,search for a water source,try to buy a ticket off another person,wave to the parents,,,pour water on the car to cool it,,tell his sister as soon as possible,abandon his father,ration their food,get her arm stuck in solidarity,,carry her competitor on her sled
100,308,TRUE,1,,,75,,,35,100,100,5,100,,100,15,100,55,50,,,32,Female,White / Caucasian,,Some College,Rung 4,search for the medication on the black market,,,crawl past the front desk,,,pretend they are conjoined twins,tackle him and hold him down,honk an angry message in Morse code,call her a cab,slash the tires,,call the taxi company,buy his father a tent,serve engine fuel to the passengers,saw Todd’s arm off,tell his lawyer that he’s sick,
100,524,TRUE,19,,30,,,9,20,,51,,,100,1,0,10,5,100,100,,30,Female,White / Caucasian,,High School or equivalent,Rung 5,commit credit card fraud,,sell one of his kidneys,,,collect wood to start a fire,teleport into the concert,,honk at the driver until they pull over,,,threaten security with the knife,borrow their mom’s wedding ring,abandon his father,ration their food,leave Todd to save herself,leave the store unattended,hide him in the snow
100,673,TRUE,20,75,,80,60,,,80,,30,0,,80,75,90,,75,50,,35,Female,Black / African American,,Vocational/Technical School (2 year),Rung 5,take out a loan,steal a passing driver's car,,lie that she left her card inside,copy a friend's assignment,,,ask the parents if they know him,,turn invisible,check that the doors are locked,,blame it on the maid of honor,pitch his situation to a reality TV network,sell all the food to the highest bidder,,leave the store unattended,finish the race
100,527,TRUE,25,,,,,0,100,30,30,,,35,50,0,0,10,100,90,,70,Female,White / Caucasian,,Master's Degree (MS),Rung 3,commit credit card fraud,,,,,collect wood to start a fire,teleport into the concert,make cat noises at him until he leaves,tailgate the car,,,hide the knife in someone else's bag,steal someone else’s ring,check in on his father daily,organize a fishing crew,hike until she finds cell service,stage a break-in at the store,finish the race
100,809,TRUE,,,,50,0,,100,84,,0,100,45,100,,0,50,0,100,,35,Female,White / Caucasian,,Some College,Rung 4,,,,renew her membership,bring in the assignment the next day,,steal someone else's ticket,make cat noises at him until he leaves,,call her a cab,light a fire under the car,store the knife in an airport locker,blame it on the maid of honor,,request supplies to be airdropped,saw Todd’s arm off,ask a friend to take over,steal his dogs for extra speed
